NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
811213,GA,36813,37872,51814,47689,43955,44960,44290,40444,40649,43070,45646
10,HI,294986,292724,286962,278385,265315,254975,244263,235781,228450,215967,211743
11,HI,31037,31099,30545,29568,28342,26767,25121,25254,24731,24122,24435
323115,HI,29804,30300,32241,33107,31581,25252,23241,31505,34578,32501,21289
33411,HI,0,0,0,0,0,0,0,0,0,0,*
423430,HI,102849,94213,91334,92894,94508,86923,116270,98219,106766,104711,99901
425110,HI,0,0,0,0,0,0,0,47471,49052,47965,45118
443120,HI,44114,46566,31754,0,29734,28474,0,0,0,31011,*
454111,HI,100827,51318,40791,0,0,26370,26866,30147,30341,0,*
51,HI,127394,100940,96107,96479,95235,48010,48488,68355,43173,43317,42771
511210,HI,83832,92678,83003,93766,75859,61956,61858,64660,89861,72339,83098
518,HI,59574,62169,63256,58343,54228,51200,49989,54514,50059,47268,43104
519130,HI,68405,61938,54939,58996,*,*,*,*,*,*,*
52,HI,140485,137737,134097,133068,128991,127656,122525,115843,114608,99691,95728
522320,HI,48645,44742,50017,44323,42164,34557,29898,25148,24588,26635,24820
54151,HI,139175,137259,164168,156658,155687,61070,55591,54915,53469,49355,51751
611420,HI,48119,43501,0,0,0,0,35989,0,0,0,*
811212,HI,42705,42929,37919,37231,37948,34954,33108,32745,39837,39361,40479
811213,HI,0,40961,37570,36757,40983,0,55194,54562,48819,44075,*
10,ID,234247,230849,228031,224302,218249,207799,203545,192211,188256,183713,178531
11,ID,27725,26692,27482,26368,25131,24215,23335,21795,34132,20742,20166
323115,ID,24031,30661,27284,26327,30232,0,32635,30368,19563,16037,*
33411,ID,0,0,106769,112884,108714,94037,81929,86573,80620,70906,76487
334611,ID,0,0,0,45574,0,0,25757,0,0,0,*
423430,ID,85582,85209,91671,83980,73770,43141,44727,50767,45114,60797,50473
425110,ID,85180,75880,81816,80584,72735,59585,55445,55241,51953,47083,41274
443120,ID,55840,55450,36270,33806,33402,36259,35630,35515,36905,38553,38709
454111,ID,0,45071,42220,44102,47529,38454,0,0,0,0,*
51,ID,89998,57898,85910,84549,81285,78132,78896,73726,72783,72924,71656
511210,ID,83516,83187,84090,84503,84906,82556,76174,67814,66280,63633,57073
518,ID,57636,55629,51825,51712,44661,42883,35301,33440,35821,39489,40875
519130,ID,68769,63966,74289,51202,*,*,*,*,*,*,*
52,ID,163310,161550,112805,110013,106506,109338,101901,95322,95498,91769,93983
522320,ID,62489,60008,58794,62629,42092,50101,28154,33932,24995,22298,20533
54151,ID,58714,56298,54492,53020,51996,52152,51648,51301,50319,48586,49445
611420,ID,0,41385,45909,40273,0,38055,0,59940,0,0,*
