NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
518,HI,76,79,81,78,87,96,101,109,105,113,95
519130,HI,20,20,20,16,*,*,*,*,*,*,*
52,HI,1627,1713,1722,1744,1709,1654,1560,1514,1435,1427,1364
522320,HI,18,20,19,19,20,19,18,20,16,12,10
54151,HI,734,746,694,650,593,547,503,527,482,434,372
611420,HI,9,9,8,8,9,12,14,0,0,0,*
811212,HI,46,44,50,49,50,55,57,56,60,71,69
811213,HI,4,4,4,5,5,4,5,6,7,9,*
10,ID,112075,114485,116185,115681,112101,106556,101423,99586,96164,95791,93446
11,ID,2043,2056,2067,2042,2019,2004,1957,1964,1983,1994,2008
323115,ID,5,3,4,6,4,4,4,5,3,3,*
33411,ID,25,26,26,25,18,16,18,14,14,13,14
334611,ID,4,4,4,4,4,3,4,0,0,0,*
423430,ID,42,41,40,37,39,41,40,43,41,51,52
425110,ID,32,32,39,40,41,39,41,40,47,60,71
443120,ID,101,100,108,113,114,127,131,133,141,143,138
454111,ID,94,85,78,74,53,48,26,0,0,0,*
51,ID,1002,1006,987,960,904,871,798,782,774,795,777
511210,ID,92,93,86,92,78,65,45,40,39,38,36
518,ID,103,93,86,72,92,87,82,76,78,83,78
519130,ID,33,33,29,26,*,*,*,*,*,*,*
52,ID,2999,3116,3182,3162,3100,2922,2800,2701,2526,2457,2351
522320,ID,27,28,26,23,15,19,14,12,14,16,12
54151,ID,850,837,811,742,687,661,626,623,574,593,522
611420,ID,13,11,11,13,14,13,11,15,0,0,*
811212,ID,44,49,51,54,59,54,42,44,41,44,44
811213,ID,16,15,13,15,17,13,15,15,16,16,15
10,IL,766751,758172,746279,729610,706261,684517,664544,656151,650105,647137,650859
11,IL,1780,1705,1652,1603,1588,1558,1524,1525,1530,1562,1562
323115,IL,129,109,104,89,74,69,63,59,54,46,48
33411,IL,85,87,84,79,83,85,82,83,83,90,89
334611,IL,59,62,66,72,79,84,88,99,107,126,117
423430,IL,711,752,829,882,946,974,993,1002,1002,970,914
425110,IL,365,392,412,413,407,359,334,355,397,395,408
443120,IL,481,497,587,647,671,645,661,756,851,934,992
454111,IL,524,464,395,345,294,249,227,228,0,0,*
51,IL,7249,7182,7051,6967,6842,6674,6558,6598,6893,7014,6708
511210,IL,551,525,519,449,394,370,345,321,322,326,330
518,IL,701,662,650,622,1014,973,979,1050,1183,1300,1191
519130,IL,379,342,297,248,*,*,*,*,*,*,*
52,IL,21723,21746,21835,21504,20872,19885,19226,18767,18393,18408,18535
522320,IL,274,262,249,252,241,247,234,221,210,197,185
54151,IL,11061,10436,9879,9288,8749,8225,7988,8170,8446,8467,8125
611420,IL,143,142,136,133,128,127,133,131,142,153,167
811212,IL,369,350,341,331,301,280,260,259,266,260,271
811213,IL,56,55,62,68,66,64,62,63,65,67,64
10,IN,322384,325957,327812,324292,317497,313203,311979,310167,308443,308004,310397
11,IN,1441,1389,1327,1308,1296,1295,1251,1240,1217,1207,1210
323115,IN,32,31,30,24,21,15,14,14,13,14,17
33411,IN,7,7,6,5,6,4,5,6,7,8,10
334611,IN,3,3,3,4,4,3,1,0,0,0,*
423430,IN,416,465,501,498,503,508,505,486,488,471,416
425110,IN,72,72,77,77,88,93,107,126,155,173,226
443120,IN,177,180,227,234,239,213,224,233,258,278,322
454111,IN,147,135,124,111,91,74,55,39,36,41,*
51,IN,2506,2534,2512,2473,2415,2386,2398,2372,2466,2578,2579
511210,IN,128,127,114,80,74,76,77,82,87,93,100
518,IN,176,187,174,158,261,246,261,275,312,366,369
519130,IN,70,67,68,55,*,*,*,*,*,*,*
52,IN,9885,10023,10199,10211,9819,9663,9588,9368,9172,9208,9402
522320,IN,66,65,65,63,58,55,47,46,45,39,45
54151,IN,2956,2792,2660,2522,2331,2151,2027,1954,1956,2003,1976
611420,IN,32,39,38,37,36,35,38,44,51,53,48
811212,IN,157,157,137,124,122,124,112,111,103,109,108
811213,IN,40,39,38,39,37,35,34,36,38,38,35
10,IA,194606,194638,194369,193383,190519,188831,188412,185627,183434,187652,198683
