OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
13-1111,CA,92060,88430,89570,86010,82200,81730,80180,84380,75110,69930,65190
15-0000,CA,87990,86930,83790,80580,77840,75800,75110,72860,69610,68400,65540
15-1011,CA,*,122650,115230,117610,116470,113860,111760,98770,93600,89350,80170
15-1021,CA,*,83930,82820,79300,76270,75100,74880,74040,71750,69920,66660
15-1031,CA,*,102080,97630,95820,91590,88720,87670,84320,84430,81450,79690
15-1032,CA,*,109240,105600,100200,96070,92440,92600,89290,85230,83070,78560
15-1041,CA,*,53080,51310,50380,50100,48600,48890,46950,47380,47000,45380
15-1051,CA,*,84210,82100,79150,76970,73960,73350,71280,67610,67340,64120
15-1061,CA,*,81970,82580,75200,74150,71550,70350,66330,62980,64220,60590
15-1071,CA,*,79830,77800,76390,72680,69900,68640,65790,61730,61600,58230
15-1081,CA,*,85190,78280,75520,71870,71040,70560,69040,68230,68750,66210
15-1099,CA,*,81360,80190,76450,73010,75510,71420,*,*,*,*
15-1111,CA,123860,*,*,*,*,*,*,*,*,*,*
15-1121,CA,84790,*,*,*,*,*,*,*,*,*,*
15-1131,CA,84470,*,*,*,*,*,*,*,*,*,*
15-1132,CA,102280,*,*,*,*,*,*,*,*,*,*
15-1133,CA,109890,*,*,*,*,*,*,*,*,*,*
15-1141,CA,84090,*,*,*,*,*,*,*,*,*,*
15-1142,CA,80300,*,*,*,*,*,*,*,*,*,*
15-1150,CA,55910,*,*,*,*,*,*,*,*,*,*
15-1179,CA,88860,*,*,*,*,*,*,*,*,*,*
15-1799,CA,83560,*,*,*,*,*,*,*,*,*,*
15-2031,CA,82310,81470,77790,73890,71580,69140,67430,67010,65530,66350,71270
17-0000,CA,88150,85680,83370,79870,77040,74270,73340,69700,65700,63830,60750
17-2061,CA,111230,111700,111430,106120,100070,94560,93520,92200,87200,84370,80050
17-2112,CA,89700,86200,84300,82750,80900,79300,78490,74290,70470,68090,66380
17-3026,CA,52080,48350,54050,56110,58110,52710,53620,51050,50270,47340,47680
19-0000,CA,73570,72890,72110,68090,66790,63440,62890,59500,56810,54930,52820
25-1021,CA,99780,90940,86860,86470,*,76800,73120,70320,63510,63570,59790
27-0000,CA,65370,65150,62220,57780,52060,49120,49690,53220,51380,48990,45990
27-1014,CA,74560,76010,77820,79070,74760,75510,77550,70530,68360,60680,52560
27-1024,CA,57240,57180,55670,52720,49620,47450,46180,46660,45210,44840,42790
27-3042,CA,82730,79880,76880,75470,72910,67860,69460,65960,63880,61350,57840
29-2071,CA,39520,38550,37600,35160,34200,32200,31810,31030,29800,28570,28740
41-4011,CA,88170,86300,85710,83230,77480,72890,74360,72600,71840,69730,65500
43-9011,CA,41470,40100,39510,39430,37930,36290,36350,36470,35510,35080,33690
43-9021,CA,31220,30300,29450,28280,27170,26170,26120,25840,25200,24650,23860
43-9031,CA,43930,43200,41530,40460,38110,36920,37010,37280,37530,36660,36580
45-0000,CA,20960,20810,20450,19480,18740,18620,18530,18230,18270,17440,16430
49-2011,CA,41100,40870,41000,39590,39390,38750,38700,36370,35920,35100,33970
51-4011,CA,36910,35520,32990,32450,32150,32370,32100,31600,30500,30900,29810
51-4012,CA,57720,57960,54300,54180,54800,54950,52610,50330,45560,45610,43730
11-3021,CO,125500,126160,124890,115980,108760,104240,106580,99600,94880,89480,85150
13-0000,CO,68410,67950,67570,65650,62870,60010,58710,57410,55100,51640,48480
13-1081,CO,73840,70140,69570,69540,69990,67700,68590,*,*,*,*
13-1111,CO,82770,85790,90020,89650,84260,79720,74470,73630,81160,62030,60350
15-0000,CO,81510,81830,79780,77050,71980,70850,70600,68020,65480,64090,61580
15-1011,CO,*,99820,97850,97290,88300,91840,87750,78110,96570,84970,80400
15-1021,CO,*,83940,80850,78750,72960,73180,69140,68790,67110,65850,65290
15-1031,CO,*,92370,92220,90070,85570,81870,83060,80430,77840,75810,72740
15-1032,CO,*,98590,97190,93810,85420,84850,82870,80870,76580,73650,70760
15-1041,CO,*,51790,50130,50150,48610,48780,48250,47560,44460,43870,40660
15-1051,CO,*,82910,82120,79560,73840,73060,72920,67010,68850,69790,64960
15-1061,CO,*,73680,72290,71970,70190,68030,66980,63110,58920,58310,56480
15-1071,CO,*,76110,73390,71560,70630,69550,66670,65940,64040,63380,61660
15-1081,CO,*,78190,73540,71060,69300,67760,65810,64780,63490,61240,59030
15-1099,CO,*,77650,75080,72030,69610,61270,67020,*,*,*,*
15-1111,CO,101560,*,*,*,*,*,*,*,*,*,*
15-1121,CO,84610,*,*,*,*,*,*,*,*,*,*
15-1131,CO,78390,*,*,*,*,*,*,*,*,*,*
15-1132,CO,90970,*,*,*,*,*,*,*,*,*,*
15-1133,CO,97430,*,*,*,*,*,*,*,*,*,*
15-1141,CO,73420,*,*,*,*,*,*,*,*,*,*
15-1142,CO,77740,*,*,*,*,*,*,*,*,*,*
15-1150,CO,55990,*,*,*,*,*,*,*,*,*,*
15-1179,CO,82880,*,*,*,*,*,*,*,*,*,*
15-1799,CO,79690,*,*,*,*,*,*,*,*,*,*
15-2031,CO,79810,75510,70460,68710,67590,67420,65190,64560,57790,57370,52810
17-0000,CO,80100,79700,77800,74250,70090,66930,66120,62690,59830,58340,55470
17-2061,CO,106180,108480,106950,103280,101530,100310,99350,93770,84020,78860,76510
17-2112,CO,85260,82130,80930,77970,74760,73920,73050,71950,69180,65570,58760
17-3026,CO,49010,51610,51480,57140,55780,50940,52470,47960,46130,42580,43050
19-0000,CO,70170,69180,66780,64350,61050,61010,60050,57210,51710,49570,46970
25-1021,CO,73880,75830,71720,63870,59040,56210,58880,54870,48550,49260,44380
27-0000,CO,49440,49250,47730,44830,43960,42930,43450,44430,43920,40900,39580
27-1014,CO,54270,53870,51160,48750,48700,51460,51270,55060,49310,45410,48970
27-1024,CO,44190,45100,44120,42820,40860,40520,39270,38480,36460,36440,33700
27-3042,CO,63800,66570,66100,62380,60420,58740,59050,56300,51740,49920,47510
29-2071,CO,38530,37750,35960,34310,31700,31520,31010,30100,28860,28300,27230
41-4011,CO,80860,80450,84810,81930,79950,73210,71280,71160,69380,66740,66480
43-9011,CO,39060,39320,40540,40610,40220,39610,37470,36340,33800,33090,31310
43-9021,CO,29590,29130,26470,25950,25450,26550,27040,24290,24280,23110,22160
43-9031,CO,*,-1,-1,38950,33980,35840,38140,34920,36550,33370,34110
45-0000,CO,27460,26770,25660,22880,22450,22760,22000,21560,20610,20690,20160
