OCC;STATE;METROS;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
43-9011;TX;Wichita Falls, TX MSA;*;*;*;*;*;*;29110;*;28100;25840;24560
43-9021;TX;Wichita Falls, TX MSA;*;*;*;*;*;*;20720;19730;20510;20180;20130
45-0000;TX;Wichita Falls, TX MSA;*;*;*;*;*;*;17720;21520;21330;*;20460
49-2011;TX;Wichita Falls, TX MSA;*;*;*;*;*;*;26080;26060;25190;26670;29780
51-4011;TX;Wichita Falls, TX MSA;*;*;*;*;*;*;28460;33790;32510;*;*
00-0000;UT;Logan, UT-ID;34750;33920;32620;31550;30070;29520;*;*;*;*;*
11-3021;UT;Logan, UT-ID;*;86950;79700;79310;69780;67150;*;*;*;*;*
13-0000;UT;Logan, UT-ID;49440;47360;47320;48260;45800;44890;*;*;*;*;*
13-1111;UT;Logan, UT-ID;68940;59800;39850;*;*;*;*;*;*;*;*
15-0000;UT;Logan, UT-ID;56670;53140;49840;48070;45790;43330;*;*;*;*;*
15-1021;UT;Logan, UT-ID;*;50240;50320;51420;46640;42840;*;*;*;*;*
15-1031;UT;Logan, UT-ID;*;49940;52720;52850;52440;52760;*;*;*;*;*
15-1032;UT;Logan, UT-ID;*;-1;*;*;*;67940;*;*;*;*;*
15-1041;UT;Logan, UT-ID;*;33680;35360;33350;34240;30920;*;*;*;*;*
15-1051;UT;Logan, UT-ID;*;64440;55090;*;*;49700;*;*;*;*;*
15-1071;UT;Logan, UT-ID;*;54850;52700;47570;46450;43380;*;*;*;*;*
15-1081;UT;Logan, UT-ID;*;51730;47120;43670;45770;37990;*;*;*;*;*
15-1121;UT;Logan, UT-ID;65070;*;*;*;*;*;*;*;*;*;*
15-1131;UT;Logan, UT-ID;51160;*;*;*;*;*;*;*;*;*;*
15-1132;UT;Logan, UT-ID;62070;*;*;*;*;*;*;*;*;*;*
15-1142;UT;Logan, UT-ID;55870;*;*;*;*;*;*;*;*;*;*
15-1150;UT;Logan, UT-ID;36820;*;*;*;*;*;*;*;*;*;*
15-1179;UT;Logan, UT-ID;50420;*;*;*;*;*;*;*;*;*;*
17-0000;UT;Logan, UT-ID;64170;62150;55980;51150;47280;48110;*;*;*;*;*
17-2112;UT;Logan, UT-ID;70960;61620;63150;62530;61460;55900;*;*;*;*;*
19-0000;UT;Logan, UT-ID;50000;42440;41010;39120;33160;33620;*;*;*;*;*
25-1021;UT;Logan, UT-ID;*;*;*;*;63960;61130;*;*;*;*;*
27-0000;UT;Logan, UT-ID;38450;37390;35810;32800;29010;28080;*;*;*;*;*
27-1014;UT;Logan, UT-ID;*;47540;*;*;*;*;*;*;*;*;*
27-1024;UT;Logan, UT-ID;35320;31830;31040;35500;38620;31330;*;*;*;*;*
27-3042;UT;Logan, UT-ID;*;*;*;*;*;40920;*;*;*;*;*
29-2071;UT;Logan, UT-ID;32190;31400;30470;27630;27490;24130;*;*;*;*;*
41-4011;UT;Logan, UT-ID;81550;65330;67760;54670;57870;59610;*;*;*;*;*
43-9021;UT;Logan, UT-ID;24680;22610;*;*;19110;19710;*;*;*;*;*
43-9031;UT;Logan, UT-ID;*;*;*;26400;*;*;*;*;*;*;*
45-0000;UT;Logan, UT-ID;27730;27250;24850;24740;24050;21380;*;*;*;*;*
49-2011;UT;Logan, UT-ID;*;*;32380;27440;24750;22040;*;*;*;*;*
51-4011;UT;Logan, UT-ID;*;*;*;34960;34550;29780;*;*;*;*;*
00-0000;UT;Ogden-Clearfield, UT;38270;37670;36780;35870;34340;33560;*;*;*;*;*
11-3021;UT;Ogden-Clearfield, UT;95040;98700;98060;101360;98000;96890;*;*;*;*;*
13-0000;UT;Ogden-Clearfield, UT;59690;61450;61280;59230;53000;47630;*;*;*;*;*
13-1081;UT;Ogden-Clearfield, UT;71860;71510;67100;65310;62420;64280;*;*;*;*;*
13-1111;UT;Ogden-Clearfield, UT;75130;75090;71400;65920;61600;62490;*;*;*;*;*
15-0000;UT;Ogden-Clearfield, UT;67740;66100;62990;61980;58980;59010;*;*;*;*;*
15-1011;UT;Ogden-Clearfield, UT;*;79670;78400;79540;74340;72060;*;*;*;*;*
15-1021;UT;Ogden-Clearfield, UT;*;58210;63060;64600;60330;54070;*;*;*;*;*
15-1031;UT;Ogden-Clearfield, UT;*;77320;72870;73370;83050;66410;*;*;*;*;*
15-1032;UT;Ogden-Clearfield, UT;*;76420;72580;72470;72130;71020;*;*;*;*;*
15-1041;UT;Ogden-Clearfield, UT;*;43830;41530;38310;36740;35420;*;*;*;*;*
15-1051;UT;Ogden-Clearfield, UT;*;65100;64240;58490;59330;67220;*;*;*;*;*
15-1061;UT;Ogden-Clearfield, UT;*;70170;65780;67480;59600;61310;*;*;*;*;*
15-1071;UT;Ogden-Clearfield, UT;*;63190;61300;62940;61720;58560;*;*;*;*;*
15-1081;UT;Ogden-Clearfield, UT;*;69460;68000;73480;63340;52570;*;*;*;*;*
15-1099;UT;Ogden-Clearfield, UT;*;77920;70420;69130;63180;45910;*;*;*;*;*
15-1111;UT;Ogden-Clearfield, UT;81110;*;*;*;*;*;*;*;*;*;*
15-1121;UT;Ogden-Clearfield, UT;66480;*;*;*;*;*;*;*;*;*;*
15-1131;UT;Ogden-Clearfield, UT;56420;*;*;*;*;*;*;*;*;*;*
15-1132;UT;Ogden-Clearfield, UT;78350;*;*;*;*;*;*;*;*;*;*
15-1133;UT;Ogden-Clearfield, UT;91060;*;*;*;*;*;*;*;*;*;*
15-1141;UT;Ogden-Clearfield, UT;74000;*;*;*;*;*;*;*;*;*;*
15-1142;UT;Ogden-Clearfield, UT;66110;*;*;*;*;*;*;*;*;*;*
15-1150;UT;Ogden-Clearfield, UT;43270;*;*;*;*;*;*;*;*;*;*
15-1179;UT;Ogden-Clearfield, UT;61560;*;*;*;*;*;*;*;*;*;*
15-1799;UT;Ogden-Clearfield, UT;80320;67140;65600;63480;*;56630;*;*;*;*;*
17-0000;UT;Ogden-Clearfield, UT;74550;72450;70120;69080;64820;62730;*;*;*;*;*
17-2061;UT;Ogden-Clearfield, UT;*;*;*;*;*;48580;*;*;*;*;*
17-2112;UT;Ogden-Clearfield, UT;72360;68610;68120;67140;67660;64480;*;*;*;*;*
17-3026;UT;Ogden-Clearfield, UT;60700;59260;55520;54960;53770;52450;*;*;*;*;*
19-0000;UT;Ogden-Clearfield, UT;55760;54740;51070;57670;51590;59630;*;*;*;*;*
25-1021;UT;Ogden-Clearfield, UT;*;*;*;*;*;63130;*;*;*;*;*
27-0000;UT;Ogden-Clearfield, UT;39810;41900;41120;39860;35720;36030;*;*;*;*;*
27-1024;UT;Ogden-Clearfield, UT;40710;40320;38210;37750;38520;35670;*;*;*;*;*
27-3042;UT;Ogden-Clearfield, UT;57400;53680;51230;49180;47810;47100;*;*;*;*;*
29-2071;UT;Ogden-Clearfield, UT;33700;29570;26730;26760;26090;22730;*;*;*;*;*
41-4011;UT;Ogden-Clearfield, UT;57640;84360;105820;*;58240;52850;*;*;*;*;*
43-9011;UT;Ogden-Clearfield, UT;33810;32620;33810;33320;32240;30150;*;*;*;*;*
43-9021;UT;Ogden-Clearfield, UT;28320;28210;27240;26380;26630;25610;*;*;*;*;*
43-9031;UT;Ogden-Clearfield, UT;35220;*;*;*;45200;*;*;*;*;*;*
45-0000;UT;Ogden-Clearfield, UT;21770;23600;21980;20860;19400;*;*;*;*;*;*
49-2011;UT;Ogden-Clearfield, UT;40040;38800;28360;*;*;23850;*;*;*;*;*
51-4011;UT;Ogden-Clearfield, UT;32920;26850;26040;29630;39460;32300;*;*;*;*;*
00-0000;UT;Provo-Orem, UT;38830;38120;36600;35150;33980;32530;*;*;*;*;*
11-3021;UT;Provo-Orem, UT;99520;100250;105090;98520;88110;84180;*;*;*;*;*
13-0000;UT;Provo-Orem, UT;57440;55690;58260;57550;56350;53890;*;*;*;*;*
13-1081;UT;Provo-Orem, UT;62390;60950;60050;*;*;*;*;*;*;*;*
13-1111;UT;Provo-Orem, UT;67750;66000;58510;54480;55380;65200;*;*;*;*;*
15-0000;UT;Provo-Orem, UT;57990;62230;61530;64370;55800;56710;*;*;*;*;*
15-1011;UT;Provo-Orem, UT;*;140080;137330;*;*;*;*;*;*;*;*
15-1021;UT;Provo-Orem, UT;*;60510;59510;63190;57900;56840;*;*;*;*;*
15-1031;UT;Provo-Orem, UT;*;83990;81340;81660;72460;68830;*;*;*;*;*
15-1032;UT;Provo-Orem, UT;*;66680;77510;70790;62740;62600;*;*;*;*;*
15-1041;UT;Provo-Orem, UT;*;36140;33180;35560;33690;37250;*;*;*;*;*
15-1051;UT;Provo-Orem, UT;*;67400;69120;69520;61230;55220;*;*;*;*;*
15-1061;UT;Provo-Orem, UT;*;70250;71340;70330;67190;63880;*;*;*;*;*
15-1071;UT;Provo-Orem, UT;*;63280;60800;60650;57360;51880;*;*;*;*;*
15-1081;UT;Provo-Orem, UT;*;68080;71220;65500;58890;71240;*;*;*;*;*
15-1099;UT;Provo-Orem, UT;*;39900;30630;33590;33340;48380;*;*;*;*;*
15-1121;UT;Provo-Orem, UT;65280;*;*;*;*;*;*;*;*;*;*
15-1131;UT;Provo-Orem, UT;60600;*;*;*;*;*;*;*;*;*;*
15-1132;UT;Provo-Orem, UT;80930;*;*;*;*;*;*;*;*;*;*
15-1133;UT;Provo-Orem, UT;73430;*;*;*;*;*;*;*;*;*;*
15-1141;UT;Provo-Orem, UT;75850;*;*;*;*;*;*;*;*;*;*
15-1142;UT;Provo-Orem, UT;65390;*;*;*;*;*;*;*;*;*;*
15-1150;UT;Provo-Orem, UT;36110;*;*;*;*;*;*;*;*;*;*
15-1179;UT;Provo-Orem, UT;62980;*;*;*;*;*;*;*;*;*;*
15-1799;UT;Provo-Orem, UT;41960;*;*;*;*;*;*;*;*;*;*
15-2031;UT;Provo-Orem, UT;52190;48930;44570;47330;48220;*;*;*;*;*;*
17-0000;UT;Provo-Orem, UT;65810;61560;60580;57580;56380;52530;*;*;*;*;*
17-2061;UT;Provo-Orem, UT;79360;*;78150;*;*;*;*;*;*;*;*
17-2112;UT;Provo-Orem, UT;75610;77790;74410;70530;64160;59430;*;*;*;*;*
17-3026;UT;Provo-Orem, UT;59180;57370;53890;46590;37370;36510;*;*;*;*;*
19-0000;UT;Provo-Orem, UT;50330;47130;49130;51770;47560;44360;*;*;*;*;*
25-1021;UT;Provo-Orem, UT;87590;87500;89380;*;*;*;*;*;*;*;*
27-0000;UT;Provo-Orem, UT;40910;41290;39080;37410;35320;38400;*;*;*;*;*
27-1014;UT;Provo-Orem, UT;49100;47800;*;*;*;39970;*;*;*;*;*
27-1024;UT;Provo-Orem, UT;46300;43760;38930;33690;33690;34230;*;*;*;*;*
27-3042;UT;Provo-Orem, UT;60050;46460;45810;48700;*;52770;*;*;*;*;*
29-2071;UT;Provo-Orem, UT;30150;30020;27180;26200;*;*;*;*;*;*;*
41-4011;UT;Provo-Orem, UT;65620;80640;68060;60280;54100;57110;*;*;*;*;*
43-9011;UT;Provo-Orem, UT;28490;29140;29630;34360;28870;*;*;*;*;*;*
43-9021;UT;Provo-Orem, UT;23200;23160;22400;22690;21770;21850;*;*;*;*;*
43-9031;UT;Provo-Orem, UT;33710;31090;*;33140;*;38470;*;*;*;*;*
45-0000;UT;Provo-Orem, UT;23650;23590;24110;23070;22630;26000;*;*;*;*;*
49-2011;UT;Provo-Orem, UT;29960;34290;29820;32360;29670;34810;*;*;*;*;*
51-4011;UT;Provo-Orem, UT;37450;33080;29580;*;*;29760;*;*;*;*;*
00-0000;UT;St. George, UT;34160;33570;33060;32280;30650;29770;*;*;*;*;*
11-3021;UT;St. George, UT;*;*;77810;75000;*;*;*;*;*;*;*
13-0000;UT;St. George, UT;47510;51900;55110;55750;51120;49060;*;*;*;*;*
13-1111;UT;St. George, UT;72490;*;*;*;*;45830;*;*;*;*;*
15-0000;UT;St. George, UT;48180;54730;52260;55930;47030;54170;*;*;*;*;*
15-1021;UT;St. George, UT;*;51810;54900;59640;43200;40020;*;*;*;*;*
15-1031;UT;St. George, UT;*;82930;72920;70860;43460;*;*;*;*;*;*
15-1041;UT;St. George, UT;*;34800;35920;32080;30890;28200;*;*;*;*;*
15-1051;UT;St. George, UT;*;*;*;*;*;44640;*;*;*;*;*
15-1081;UT;St. George, UT;*;56890;58020;97100;90360;86410;*;*;*;*;*
15-1099;UT;St. George, UT;*;*;37070;35810;33200;*;*;*;*;*;*
15-1131;UT;St. George, UT;48330;*;*;*;*;*;*;*;*;*;*
15-1150;UT;St. George, UT;37120;*;*;*;*;*;*;*;*;*;*
15-1179;UT;St. George, UT;49980;*;*;*;*;*;*;*;*;*;*
17-0000;UT;St. George, UT;59160;58330;53580;52360;49530;46780;*;*;*;*;*
19-0000;UT;St. George, UT;47220;46040;44640;40390;36160;34950;*;*;*;*;*
27-0000;UT;St. George, UT;33950;35690;36040;34100;30600;29840;*;*;*;*;*
27-1024;UT;St. George, UT;43700;41580;39700;33210;33210;29120;*;*;*;*;*
29-2071;UT;St. George, UT;27990;*;28190;27810;*;*;*;*;*;*;*
41-4011;UT;St. George, UT;60590;65180;70790;74760;54830;63700;*;*;*;*;*
43-9011;UT;St. George, UT;*;*;*;*;*;30180;*;*;*;*;*
43-9021;UT;St. George, UT;24790;23670;22500;*;25890;25470;*;*;*;*;*
45-0000;UT;St. George, UT;31820;31880;*;*;22830;20940;*;*;*;*;*
49-2011;UT;St. George, UT;*;*;42080;40480;40090;*;*;*;*;*;*
00-0000;UT;Salt Lake City, UT;42570;41530;40610;39590;37900;36370;*;*;*;*;*
11-3021;UT;Salt Lake City, UT;107170;100200;94450;92810;89070;85740;*;*;*;*;*
13-0000;UT;Salt Lake City, UT;60040;56850;56880;55820;53830;49820;*;*;*;*;*
13-1081;UT;Salt Lake City, UT;62790;63060;64820;59500;57560;53000;*;*;*;*;*
13-1111;UT;Salt Lake City, UT;67710;61430;63840;74770;87230;85350;*;*;*;*;*
15-0000;UT;Salt Lake City, UT;68620;70870;68000;67790;64520;61940;*;*;*;*;*
15-1011;UT;Salt Lake City, UT;*;73360;72530;73620;*;55090;*;*;*;*;*
15-1021;UT;Salt Lake City, UT;*;88900;76410;79030;74540;68350;*;*;*;*;*
15-1031;UT;Salt Lake City, UT;*;84850;78210;76550;65420;71710;*;*;*;*;*
15-1032;UT;Salt Lake City, UT;*;78790;82130;78720;78090;76560;*;*;*;*;*
15-1041;UT;Salt Lake City, UT;*;45580;44660;42250;39260;38050;*;*;*;*;*
15-1051;UT;Salt Lake City, UT;*;69660;66930;69160;66660;65010;*;*;*;*;*
15-1061;UT;Salt Lake City, UT;*;78040;69330;67500;65250;70020;*;*;*;*;*
15-1071;UT;Salt Lake City, UT;*;64780;61610;62010;61820;61100;*;*;*;*;*
15-1081;UT;Salt Lake City, UT;*;78420;64240;61450;58550;56700;*;*;*;*;*
15-1099;UT;Salt Lake City, UT;*;76100;66970;60780;55750;*;*;*;*;*;*
15-1111;UT;Salt Lake City, UT;77400;*;*;*;*;*;*;*;*;*;*
15-1121;UT;Salt Lake City, UT;72360;*;*;*;*;*;*;*;*;*;*
15-1131;UT;Salt Lake City, UT;79640;*;*;*;*;*;*;*;*;*;*
15-1132;UT;Salt Lake City, UT;80730;*;*;*;*;*;*;*;*;*;*
15-1133;UT;Salt Lake City, UT;85190;*;*;*;*;*;*;*;*;*;*
15-1141;UT;Salt Lake City, UT;79370;*;*;*;*;*;*;*;*;*;*
15-1142;UT;Salt Lake City, UT;69850;*;*;*;*;*;*;*;*;*;*
15-1150;UT;Salt Lake City, UT;46850;*;*;*;*;*;*;*;*;*;*
15-1179;UT;Salt Lake City, UT;81510;*;*;*;*;*;*;*;*;*;*
15-1799;UT;Salt Lake City, UT;71980;*;*;*;*;*;*;*;*;*;*
15-2031;UT;Salt Lake City, UT;57530;55220;55130;53690;52900;54280;*;*;*;*;*
17-0000;UT;Salt Lake City, UT;70390;69740;66560;63500;60620;60930;*;*;*;*;*
17-2112;UT;Salt Lake City, UT;82340;74550;77160;74120;70840;64800;*;*;*;*;*
17-3026;UT;Salt Lake City, UT;47650;46630;46140;45870;44040;44540;*;*;*;*;*
19-0000;UT;Salt Lake City, UT;59190;56070;53580;54100;52340;47970;*;*;*;*;*
25-1021;UT;Salt Lake City, UT;90850;79360;77870;81220;92420;87320;*;*;*;*;*
27-0000;UT;Salt Lake City, UT;43700;44430;46450;44850;42790;43210;*;*;*;*;*
27-1014;UT;Salt Lake City, UT;54610;48540;58400;56780;53670;51040;*;*;*;*;*
27-1024;UT;Salt Lake City, UT;41900;43900;43600;40620;36780;36270;*;*;*;*;*
27-3042;UT;Salt Lake City, UT;57370;55590;54550;57160;57290;58430;*;*;*;*;*
29-2071;UT;Salt Lake City, UT;31720;31880;30850;31310;28680;28130;*;*;*;*;*
41-4011;UT;Salt Lake City, UT;78600;82770;80860;73500;70070;68440;*;*;*;*;*
43-9011;UT;Salt Lake City, UT;28320;30360;31390;28380;28020;29640;*;*;*;*;*
43-9021;UT;Salt Lake City, UT;28500;27280;28400;27490;26860;24130;*;*;*;*;*
43-9031;UT;Salt Lake City, UT;37560;40600;41450;36250;40290;*;*;*;*;*;*
45-0000;UT;Salt Lake City, UT;27810;26060;25750;25120;22450;25980;*;*;*;*;*
49-2011;UT;Salt Lake City, UT;34970;33770;42550;41000;40220;34750;*;*;*;*;*
51-4011;UT;Salt Lake City, UT;30070;27270;25180;28450;29470;28730;*;*;*;*;*
51-4012;UT;Salt Lake City, UT;56230;55680;46150;45450;41940;33380;*;*;*;*;*
00-0000;UT;Northern Utah nonmetropolitan area;39430;36670;35210;34790;34870;*;*;*;*;*;*
13-0000;UT;Northern Utah nonmetropolitan area;63520;66630;64820;61940;*;*;*;*;*;*;*
13-1111;UT;Northern Utah nonmetropolitan area;*;94130;*;*;*;*;*;*;*;*;*
15-0000;UT;Northern Utah nonmetropolitan area;*;61070;60890;66960;*;*;*;*;*;*;*
15-1131;UT;Northern Utah nonmetropolitan area;55040;*;*;*;*;*;*;*;*;*;*
15-1150;UT;Northern Utah nonmetropolitan area;46070;*;*;*;*;*;*;*;*;*;*
17-0000;UT;Northern Utah nonmetropolitan area;76860;72780;65980;67700;*;*;*;*;*;*;*
17-2112;UT;Northern Utah nonmetropolitan area;87770;72090;70810;72400;*;*;*;*;*;*;*
17-3026;UT;Northern Utah nonmetropolitan area;55730;61960;62140;60420;*;*;*;*;*;*;*
19-0000;UT;Northern Utah nonmetropolitan area;*;54630;56680;55710;*;*;*;*;*;*;*
27-0000;UT;Northern Utah nonmetropolitan area;-1;50510;56410;46930;*;*;*;*;*;*;*
29-2071;UT;Northern Utah nonmetropolitan area;*;*;*;27250;25680;*;*;*;*;*;*
45-0000;UT;Northern Utah nonmetropolitan area;22470;24430;24060;27090;*;*;*;*;*;*;*
00-0000;UT;West Central Utah nonmetropolitan area;33860;32910;31480;30450;29370;*;*;*;*;*;*
13-0000;UT;West Central Utah nonmetropolitan area;51670;52660;48670;53170;51910;*;*;*;*;*;*
15-0000;UT;West Central Utah nonmetropolitan area;63690;62110;59550;54060;48190;*;*;*;*;*;*
15-1041;UT;West Central Utah nonmetropolitan area;*;45530;41170;*;36170;*;*;*;*;*;*
15-1150;UT;West Central Utah nonmetropolitan area;48100;*;*;*;*;*;*;*;*;*;*
17-0000;UT;West Central Utah nonmetropolitan area;64000;65930;60890;57740;54100;*;*;*;*;*;*
19-0000;UT;West Central Utah nonmetropolitan area;41960;42330;40800;44820;38960;*;*;*;*;*;*
27-0000;UT;West Central Utah nonmetropolitan area;-1;26570;27490;30800;30840;*;*;*;*;*;*
41-4011;UT;West Central Utah nonmetropolitan area;*;*;*;*;39020;*;*;*;*;*;*
45-0000;UT;West Central Utah nonmetropolitan area;28600;27720;26310;28040;24380;*;*;*;*;*;*
00-0000;UT;South Western Utah nonmetropolitan area;33510;32160;30390;29340;27900;*;*;*;*;*;*
13-0000;UT;South Western Utah nonmetropolitan area;54870;52070;50550;47010;45170;*;*;*;*;*;*
15-0000;UT;South Western Utah nonmetropolitan area;52770;48170;46510;46990;46630;*;*;*;*;*;*
15-1021;UT;South Western Utah nonmetropolitan area;*;45220;40980;46380;*;*;*;*;*;*;*
15-1041;UT;South Western Utah nonmetropolitan area;*;*;29070;30970;*;*;*;*;*;*;*
15-1150;UT;South Western Utah nonmetropolitan area;47010;*;*;*;*;*;*;*;*;*;*
17-0000;UT;South Western Utah nonmetropolitan area;61760;56150;48850;49090;49230;*;*;*;*;*;*
19-0000;UT;South Western Utah nonmetropolitan area;41510;40060;39090;40200;37960;*;*;*;*;*;*
27-0000;UT;South Western Utah nonmetropolitan area;39400;33300;32500;31820;33700;*;*;*;*;*;*
27-1024;UT;South Western Utah nonmetropolitan area;*;36780;38610;*;*;*;*;*;*;*;*
29-2071;UT;South Western Utah nonmetropolitan area;*;29000;28290;24070;23780;*;*;*;*;*;*
45-0000;UT;South Western Utah nonmetropolitan area;24030;23560;23870;24480;20640;*;*;*;*;*;*
00-0000;UT;Eastern Utah nonmetropolitan area;37470;37310;35760;33910;32340;*;*;*;*;*;*
13-0000;UT;Eastern Utah nonmetropolitan area;59960;58740;58510;51980;50080;*;*;*;*;*;*
13-1111;UT;Eastern Utah nonmetropolitan area;87430;91220;93560;*;*;*;*;*;*;*;*
15-0000;UT;Eastern Utah nonmetropolitan area;63940;59930;52680;51100;45900;*;*;*;*;*;*
15-1021;UT;Eastern Utah nonmetropolitan area;*;58370;51940;57960;55460;*;*;*;*;*;*
15-1041;UT;Eastern Utah nonmetropolitan area;*;34930;38780;34520;34460;*;*;*;*;*;*
15-1071;UT;Eastern Utah nonmetropolitan area;*;59500;*;*;*;*;*;*;*;*;*
15-1081;UT;Eastern Utah nonmetropolitan area;*;72160;65700;*;*;*;*;*;*;*;*
15-1131;UT;Eastern Utah nonmetropolitan area;56200;*;*;*;*;*;*;*;*;*;*
15-1142;UT;Eastern Utah nonmetropolitan area;59200;*;*;*;*;*;*;*;*;*;*
15-1150;UT;Eastern Utah nonmetropolitan area;37390;*;*;*;*;*;*;*;*;*;*
15-1179;UT;Eastern Utah nonmetropolitan area;75320;*;*;*;*;*;*;*;*;*;*
17-0000;UT;Eastern Utah nonmetropolitan area;62450;64880;61360;58470;53410;*;*;*;*;*;*
19-0000;UT;Eastern Utah nonmetropolitan area;46230;46080;42820;44330;40690;*;*;*;*;*;*
27-0000;UT;Eastern Utah nonmetropolitan area;32710;35880;33840;29140;26590;*;*;*;*;*;*
27-1024;UT;Eastern Utah nonmetropolitan area;*;35740;27780;26840;28360;*;*;*;*;*;*
29-2071;UT;Eastern Utah nonmetropolitan area;30200;27090;26400;26400;27470;*;*;*;*;*;*
41-4011;UT;Eastern Utah nonmetropolitan area;54210;52330;60520;65650;80450;*;*;*;*;*;*
43-9021;UT;Eastern Utah nonmetropolitan area;*;19500;21850;21430;20610;*;*;*;*;*;*
45-0000;UT;Eastern Utah nonmetropolitan area;29000;25210;26630;26430;23800;*;32420;31350;30500;29580;*
11-3021;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;82240;84790;79760;68150;66720
13-0000;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;51700;48180;44870;42680;40830
13-1081;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;57700;*;*;*;*
13-1111;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;59220;90760;84700;80190;80320
15-0000;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;51760;47520;47000;45130;44400
15-1011;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;*;82530;*;71130;70670
15-1021;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;54880;54690;52550;52920;58870
15-1031;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;67160;68750;71350;74270;71680
15-1032;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;55840;59360;61790;54660;65860
15-1041;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;34860;*;*;24990;22480
15-1051;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;54630;51140;52300;47490;45340
15-1061;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;63110;67000;64850;56700;53700
15-1071;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;50950;49230;48910;45660;45250
15-1081;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;52700;54190;53200;54460;56850
15-1099;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;47390;*;*;*;*
15-2031;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;49700;86130;*;76340;*
17-0000;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;51760;41820;42010;38990;29300
17-2061;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;*;47080;49520;43610;60780
17-2112;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;67030;60340;60580;54110;54050
17-3026;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;34400;32900;*;*;*
19-0000;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;40910;47940;44650;40100;39290
27-0000;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;36420;34240;35320;34350;32210
27-1014;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;42790;40580;41170;42940;43600
27-1024;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;33830;32340;31600;30710;27610
27-3042;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;49860;54640;*;46050;49270
29-2071;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;*;23030;22890;22560;24930
41-4011;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;56310;66240;67490;63580;65940
43-9011;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;31670;32620;29200;23980;22430
43-9021;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;22180;19730;19550;18500;18100
43-9031;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;36410;*;*;*;*
45-0000;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;23530;21500;20930;20300;17990
49-2011;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;30760;27260;32900;28030;*
51-4011;UT;Provo-Orem, UT MSA;*;*;*;*;*;*;34080;38950;37950;*;*
00-0000;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;35750;34340;33680;32480;*
11-3021;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;83740;80290;76160;71870;67570
13-0000;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;48220;48640;47600;44220;42840
13-1081;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;54550;*;*;*;*
13-1111;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;66190;68670;65230;64050;57090
15-0000;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;58960;53450;53170;49280;44420
15-1011;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;57880;53230;50970;60750;57750
15-1021;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;58020;54290;60010;60040;59650
15-1031;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;68240;70460;72210;71450;69490
15-1032;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;73440;71400;66530;62010;55170
15-1041;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;36260;32320;30350;25540;22280
15-1051;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;65850;60260;58570;54770;51580
15-1061;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;64240;59090;56490;56160;52860
15-1071;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;60000;53820;52870;52090;51630
15-1081;UT;Salt Lake City-Ogden, UT MSA;*;*;*;*;*;*;53320;50650;53260;49720;47090
