OCC;STATE;METROS;2010;2009;2008;2007;2006;2005;2004;2003;2002;2001;2000
49-2011;AL;Birmingham, AL MSA;*;*;*;*;*;*;37560;35160;34500;32480;36230
51-4012;AL;Birmingham, AL MSA;*;*;*;*;*;*;*;*;*;*;33130
00-0000;AL;Anniston-Oxford, AL;35190;34610;33760;32420;31490;30630;*;*;*;*;*
11-3021;AL;Anniston-Oxford, AL;*;*;*;*;65710;*;*;*;*;*;*
13-0000;AL;Anniston-Oxford, AL;58140;56240;55930;53880;55010;49110;*;*;*;*;*
13-1081;AL;Anniston-Oxford, AL;64060;63830;*;*;*;*;*;*;*;*;*
13-1111;AL;Anniston-Oxford, AL;69820;70050;81830;76630;83790;54040;*;*;*;*;*
15-0000;AL;Anniston-Oxford, AL;61700;69480;68260;65120;54380;50670;*;*;*;*;*
15-1021;AL;Anniston-Oxford, AL;*;*;*;*;*;48650;*;*;*;*;*
15-1031;AL;Anniston-Oxford, AL;*;87600;83600;77700;*;*;*;*;*;*;*
15-1032;AL;Anniston-Oxford, AL;*;87570;*;82870;*;*;*;*;*;*;*
15-1041;AL;Anniston-Oxford, AL;*;29140;40880;35400;40130;28040;*;*;*;*;*
15-1051;AL;Anniston-Oxford, AL;*;*;*;*;*;60620;*;*;*;*;*
15-1071;AL;Anniston-Oxford, AL;*;58840;58200;51250;*;*;*;*;*;*;*
15-1081;AL;Anniston-Oxford, AL;*;*;*;40010;*;47210;*;*;*;*;*
15-1099;AL;Anniston-Oxford, AL;*;*;*;68260;63840;*;*;*;*;*;*
15-1131;AL;Anniston-Oxford, AL;69700;*;*;*;*;*;*;*;*;*;*
15-1142;AL;Anniston-Oxford, AL;57100;*;*;*;*;*;*;*;*;*;*
15-1150;AL;Anniston-Oxford, AL;36470;*;*;*;*;*;*;*;*;*;*
17-0000;AL;Anniston-Oxford, AL;66620;64560;62390;61970;56340;*;*;*;*;*;*
17-2112;AL;Anniston-Oxford, AL;70050;65670;64060;65070;54070;66670;*;*;*;*;*
17-3026;AL;Anniston-Oxford, AL;51660;*;*;*;*;*;*;*;*;*;*
19-0000;AL;Anniston-Oxford, AL;57800;52040;52210;51040;52310;51670;*;*;*;*;*
27-0000;AL;Anniston-Oxford, AL;39080;39710;37520;40120;36140;33550;*;*;*;*;*
27-1024;AL;Anniston-Oxford, AL;39900;39080;41870;38080;33460;23340;*;*;*;*;*
