NAICs,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
518,FL,16643,17153,17476,18745,25114,25727,24658,24305,26076,25923,26279
519130,FL,3531,3467,3629,3154,*,*,*,*,*,*,*
52,FL,317969,324884,349945,364849,365810,354049,340355,330220,321993,317696,308670
522320,FL,9918,9797,9716,9224,8692,8352,7787,8257,6738,6989,6142
54151,FL,63991,61274,62964,60792,56723,54420,51791,47668,47032,50849,49988
611420,FL,1744,1603,1573,1553,1463,1521,1623,1337,1302,1233,1216
811212,FL,1608,1624,1750,1863,1996,2081,2087,1994,2065,2073,1966
811213,FL,2152,2199,2322,2416,2185,2077,1698,1596,1694,1691,1910
10,GA,8177028,8269826,8750740,8825846,8706920,8508078,8315101,8192933,8234838,8347378,8418289
11,GA,24715,23784,24837,25392,26062,25485,26140,26567,27026,27078,27807
323115,GA,808,811,756,637,482,446,444,423,358,234,260
33411,GA,2557,2426,2461,2463,1848,1829,1786,1823,2659,3111,3385
334611,GA,288,317,476,443,438,637,732,894,1006,855,1340
423430,GA,13082,13930,15142,15790,15725,16028,15864,17001,18573,20635,21545
425110,GA,3008,3423,4136,5498,5289,5149,5416,6156,6780,7329,7845
443120,GA,2660,2476,3500,3250,3190,3047,3056,3309,3439,3920,4608
454111,GA,1819,1850,1789,1765,1596,1411,1276,1213,1132,1487,*
51,GA,104001,107657,112035,116542,118721,119028,122152,125255,135109,144882,146586
511210,GA,11492,10776,10879,10170,11018,10748,10640,11323,12360,14135,13584
518,GA,5844,6819,7390,10788,18400,17529,19121,19653,19839,20297,21578
519130,GA,1875,1599,1328,1028,*,*,*,*,*,*,*
52,GA,145294,151264,158615,163783,163030,160171,156010,154163,151724,150208,148070
522320,GA,2873,2839,3072,3010,2841,2856,2661,1967,1929,1772,1364
54151,GA,49802,47970,49382,47328,44382,43335,42097,44484,44764,48360,51917
611420,GA,589,612,599,786,801,723,740,752,803,894,*
811212,GA,1718,1640,2019,2017,2040,2046,2011,1743,1482,1429,1864
811213,GA,671,664,362,315,287,298,337,406,409,373,393
10,HI,1295198,1306806,1360885,1370641,1354019,1323742,1286644,1254507,1231432,1225309,1214154
11,HI,6145,6438,6727,6593,7303,7581,7817,7659,7633,7765,8099
323115,HI,29,34,44,44,21,26,34,27,39,27,15
33411,HI,0,0,0,0,0,0,0,0,0,0,*
423430,HI,125,131,137,122,105,100,101,101,141,177,159
425110,HI,0,0,0,0,0,0,0,70,64,65,75
443120,HI,401,369,613,0,640,626,0,0,0,554,*
454111,HI,75,65,71,0,0,73,44,36,32,0,*
51,HI,10444,9085,10062,10701,10711,10797,10860,10583,11701,11879,12220
511210,HI,57,56,60,64,124,146,106,98,132,348,356
518,HI,407,397,519,611,733,672,739,697,900,780,664
519130,HI,71,71,77,70,*,*,*,*,*,*,*
52,HI,15552,16290,16744,16952,16948,16598,16471,16120,15900,15883,16925
522320,HI,62,61,58,73,74,73,71,86,75,81,42
54151,HI,4797,4896,4829,4713,4840,4466,4157,4100,3822,3486,2865
611420,HI,36,40,0,0,0,0,58,0,0,0,*
811212,HI,150,153,268,284,247,247,262,245,337,395,408
811213,HI,0,22,24,33,25,0,83,98,89,87,*
10,ID,1323799,1341248,1420172,1433083,1398084,1338546,1291321,1259183,1249806,1247362,1225380
11,ID,21588,22295,22114,22091,21722,21170,20908,20841,20915,19842,20523
323115,ID,28,12,13,9,7,0,23,22,14,17,*
33411,ID,0,0,3570,3548,3729,4150,4413,4495,4985,5505,5571
334611,ID,0,0,0,17,0,0,25,0,0,0,*
423430,ID,461,414,457,604,561,1011,946,834,1030,1404,1208
425110,ID,273,332,370,375,345,297,291,304,327,391,537
443120,ID,601,541,1057,1128,1038,1184,1016,955,953,1068,1470
454111,ID,0,433,214,196,164,130,0,0,0,0,*
51,ID,10335,10579,12309,11518,11200,11657,10528,9751,9726,10147,10155
511210,ID,296,347,366,353,325,329,269,279,150,178,171
518,ID,469,383,376,349,483,409,413,381,369,431,445
519130,ID,294,301,292,251,*,*,*,*,*,*,*
52,ID,20414,20798,21387,21672,21223,19762,18653,18195,17493,16625,16300
522320,ID,49,50,66,59,24,36,43,43,115,122,133
54151,ID,2958,3021,3079,2966,2872,2907,2957,2815,2661,2696,2674
611420,ID,0,45,37,44,0,71,0,38,0,0,*
811212,ID,103,113,124,110,123,122,113,121,122,260,429
811213,ID,60,65,62,68,77,62,64,91,102,124,143
10,IL,11820483,11925784,12503304,12551202,12450216,12302183,12206126,12207489,12361240,12582005,12679584
11,IL,16057,15770,16258,16074,15720,15656,15886,15791,15734,16233,15810
323115,IL,1515,1354,1463,1367,1244,1437,1388,1306,1416,1389,1473
33411,IL,1831,1912,2067,2099,2144,2258,2580,2746,3624,4744,5021
334611,IL,742,690,711,691,695,668,670,858,919,1337,1325
423430,IL,8588,8833,9712,10090,10634,10308,10479,11439,12423,14194,14569
425110,IL,2215,2361,2472,2313,2239,3021,2863,2711,2894,3157,3295
443120,IL,8354,8408,9569,9323,9241,9430,9659,11048,12084,13010,13348
454111,IL,3503,3369,3417,3380,3090,3066,3252,3914,0,0,*
51,IL,112274,117442,125592,127053,127047,118553,131191,144194,154453,162478,160699
511210,IL,3652,3768,4324,4013,3868,3763,3828,4055,4440,4640,4640
518,IL,8440,8966,10327,10876,13263,12964,13115,15965,17018,19694,20444
519130,IL,3165,2992,3019,2695,*,*,*,*,*,*,*
52,IL,283845,291548,305978,313846,315508,313384,311441,313241,311628,313563,313118
522320,IL,2330,2138,2241,2339,2111,2059,1986,1827,1747,2120,2333
54151,IL,57785,56669,59006,55803,52874,49187,46580,41049,43577,52003,55820
611420,IL,703,626,644,624,640,650,593,640,720,949,1083
811212,IL,1365,1383,2572,2334,2104,1974,1815,1802,1714,1869,2096
811213,IL,229,262,275,303,572,463,470,483,470,490,445
10,IN,5824725,5819536,6153869,6214146,6182867,6145339,6094882,6038368,6053674,6128069,6252796
11,IN,12951,12449,12492,12514,12223,12075,12122,11940,11782,12214,11904
323115,IN,768,769,751,683,582,464,426,388,379,371,384
33411,IN,569,531,744,653,813,0,0,204,135,190,187
334611,IN,4,7,10,12,0,0,0,0,0,0,*
423430,IN,2735,2954,3394,3361,3572,3291,3202,3233,3570,4003,4482
425110,IN,545,502,500,412,756,658,666,887,993,1070,1511
443120,IN,993,938,1322,1325,1434,1969,2095,2353,2272,2401,2623
454111,IN,1514,1089,651,637,606,572,432,360,384,387,*
51,IN,42351,44415,46516,47027,46685,47078,47654,47547,49181,51380,52320
511210,IN,1556,1539,1652,1367,1247,1196,1131,1203,1290,1206,1007
