OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
13-1081,CT,1130,760,760,550,640,590,600,*,*,*,*
13-1111,CT,8730,8600,8110,8030,8010,8610,8750,9010,8250,7140,7400
15-0000,CT,42420,43930,46410,47330,46360,47810,47140,44710,42030,45120,45650
15-1011,CT,*,180,280,250,260,230,310,190,380,340,380
15-1021,CT,*,4860,5490,6110,6350,6470,6610,6320,6760,9560,10000
15-1031,CT,*,9090,8500,8160,6410,7320,7340,7090,7080,6360,6160
15-1032,CT,*,3750,4060,-1,3160,4070,3820,3670,2720,2310,2200
15-1041,CT,*,6540,6620,6570,6500,6530,6610,5750,6610,7540,8160
15-1051,CT,*,8120,8830,8720,10280,10110,10030,10170,8080,7890,7130
15-1061,CT,*,1650,1870,1960,1800,1620,1670,1800,1910,1890,1760
15-1071,CT,*,3620,4150,4300,4520,4600,4520,3780,3050,3340,3350
15-1081,CT,*,3170,3950,4070,3870,-1,3170,2610,1920,2100,2240
15-1099,CT,*,1100,720,760,1010,790,950,*,*,*,*
15-1111,CT,240,*,*,*,*,*,*,*,*,*,*
15-1121,CT,7860,*,*,*,*,*,*,*,*,*,*
15-1131,CT,4370,*,*,*,*,*,*,*,*,*,*
15-1132,CT,6560,*,*,*,*,*,*,*,*,*,*
15-1133,CT,3590,*,*,*,*,*,*,*,*,*,*
15-1141,CT,1380,*,*,*,*,*,*,*,*,*,*
15-1142,CT,3740,*,*,*,*,*,*,*,*,*,*
15-1150,CT,8290,*,*,*,*,*,*,*,*,*,*
15-1179,CT,3140,*,*,*,*,*,*,*,*,*,*
15-1799,CT,1350,*,*,*,*,*,*,*,*,*,*
15-2031,CT,720,700,730,760,750,670,710,760,920,830,950
17-0000,CT,33150,34270,35310,35030,35060,36220,36610,37630,37850,34920,33690
17-2061,CT,320,390,380,440,310,350,300,330,490,430,530
17-2112,CT,3460,3570,4870,4660,4990,3930,4090,3560,3030,3090,3550
17-3026,CT,1110,1050,1110,1100,1310,940,1010,1020,960,1010,1310
19-0000,CT,12330,15370,15090,14790,16000,17260,17450,17260,17610,17420,16130
25-1021,CT,-1,400,320,250,290,380,420,390,*,760,840
27-0000,CT,21360,23220,24060,22320,20600,19850,20060,20900,20830,20990,21570
27-1014,CT,310,390,410,380,260,240,210,300,430,360,340
27-1024,CT,2520,2660,2980,2680,2650,2490,2380,2750,2560,2660,2960
27-3042,CT,650,-1,-1,690,680,760,770,860,630,710,670
29-2071,CT,1460,1590,1620,1430,1320,1480,1440,1460,1310,1180,1220
41-4011,CT,6610,6590,7110,6760,7610,6900,5740,6470,5550,6050,6540
43-9011,CT,920,1160,1540,1920,2000,1760,1770,1830,2400,2320,2470
43-9021,CT,2750,3050,3340,3530,3580,3420,3460,3680,4190,5560,6590
43-9031,CT,150,180,270,330,360,360,440,470,390,570,600
45-0000,CT,590,770,990,1230,1040,1440,1510,1660,2070,1850,2120
49-2011,CT,1050,1290,1390,1690,1830,2130,2020,2250,1940,1990,1980
51-4011,CT,2330,2630,2600,2540,2240,1750,1640,1640,2200,3050,3480
51-4012,CT,330,370,490,560,510,500,450,440,360,620,690
11-3021,DE,1550,1530,1280,1100,1030,940,1160,1100,1040,930,890
13-0000,DE,23120,23420,24150,25020,22750,21650,20050,18410,15040,16550,17250
13-1081,DE,480,500,470,370,190,80,70,*,*,*,*
13-1111,DE,1680,2060,2040,2460,3050,3090,2990,2560,1200,1550,1770
15-0000,DE,12080,11790,12400,12630,12560,10380,11080,10490,10010,10700,11230
15-1011,DE,*,80,-1,-1,100,*,*,*,*,*,*
15-1021,DE,*,1360,1900,2080,1950,1680,2060,1910,1940,2830,3770
15-1031,DE,*,1330,1250,1430,1700,1330,1210,980,400,590,600
15-1032,DE,*,1050,780,710,810,450,520,590,660,600,520
15-1041,DE,*,1750,1950,1960,2050,2080,2450,2440,2950,2100,2030
15-1051,DE,*,3090,3020,2730,2000,1290,1230,1150,1290,1380,1450
15-1061,DE,*,620,610,570,920,770,760,-1,340,300,350
15-1071,DE,*,1100,1300,1230,1110,870,1110,1150,960,960,840
15-1081,DE,*,720,750,1010,1080,1090,750,710,470,-1,720
