OCC,STATE,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
15-0000,MT,6110,5820,5640,5470,6000,5040,5050,5060,4700,4300,4320
15-1011,MT,*,-1,-1,-1,*,*,*,*,80,120,130
15-1021,MT,*,730,980,1190,1190,840,850,690,630,510,570
15-1031,MT,*,560,550,500,440,400,430,680,710,420,310
15-1032,MT,*,180,170,160,260,220,250,160,160,130,110
15-1041,MT,*,1330,1240,1150,1290,1130,1250,1370,1450,1210,1170
15-1051,MT,*,630,650,690,830,1100,940,960,660,570,690
15-1061,MT,*,220,190,160,140,140,130,170,180,210,220
15-1071,MT,*,900,780,680,780,550,550,550,450,540,760
15-1081,MT,*,520,370,340,480,360,300,210,170,140,130
15-1099,MT,*,490,340,300,380,170,-1,*,*,*,*
15-1121,MT,610,*,*,*,*,*,*,*,*,*,*
15-1131,MT,650,*,*,*,*,*,*,*,*,*,*
15-1132,MT,490,*,*,*,*,*,*,*,*,*,*
15-1133,MT,290,*,*,*,*,*,*,*,*,*,*
15-1141,MT,200,*,*,*,*,*,*,*,*,*,*
15-1142,MT,880,*,*,*,*,*,*,*,*,*,*
15-1150,MT,1560,*,*,*,*,*,*,*,*,*,*
15-1179,MT,700,*,*,*,*,*,*,*,*,*,*
15-1799,MT,520,*,*,*,*,*,*,*,*,*,*
15-2031,MT,80,-1,110,90,70,80,90,70,40,70,*
17-0000,MT,6730,6640,7190,6720,6210,5870,5730,5460,5630,5540,6270
17-2061,MT,50,*,-1,*,70,*,*,*,*,-1,-1
17-2112,MT,290,250,270,140,190,140,120,70,120,90,150
17-3026,MT,70,40,60,-1,100,70,90,60,-1,*,-1
19-0000,MT,7880,8280,8420,7800,8280,7610,6220,5440,4860,4810,5260
25-1021,MT,110,100,90,80,100,110,120,150,140,130,220
27-0000,MT,5940,6070,5820,5830,5980,5630,5300,5230,4420,4320,4080
27-1014,MT,*,*,*,30,*,*,*,*,*,*,30
27-1024,MT,560,570,520,690,690,760,450,350,290,290,320
27-3042,MT,120,70,90,80,90,50,90,70,70,60,50
29-2071,MT,850,780,820,780,780,700,600,570,530,540,580
41-4011,MT,710,640,680,630,480,380,400,470,500,360,400
43-9011,MT,130,160,180,220,310,320,430,600,530,500,350
43-9021,MT,690,740,770,680,700,570,510,410,590,620,710
43-9031,MT,*,30,30,50,50,70,90,120,100,100,60
45-0000,MT,1470,1750,2320,2510,2560,2490,2350,2090,2160,2140,1950
49-2011,MT,360,410,360,300,260,380,380,400,470,400,410
51-4011,MT,50,30,80,90,150,100,90,*,40,*,*
11-3021,NE,1480,1400,1480,1360,1440,1690,1840,1860,2100,2060,2400
13-0000,NE,41790,41030,40140,39310,38110,35190,34070,33190,30510,30370,28080
13-1081,NE,370,430,410,440,300,270,270,*,*,*,*
13-1111,NE,2760,2740,2710,2650,2410,2220,2220,1990,1630,1420,1280
15-0000,NE,22000,20440,20980,21290,21240,20250,20770,19840,20280,21140,20770
15-1011,NE,*,60,40,*,40,*,-1,280,-1,-1,90
15-1021,NE,*,2640,2840,3100,3160,3240,3050,3110,3000,3600,3490
15-1031,NE,*,3230,4010,4110,3820,3510,3500,*,2680,3000,2870
15-1032,NE,*,2750,2370,1940,1640,1480,2010,2010,2260,2110,2110
15-1041,NE,*,3000,3110,3510,3660,3640,3450,3140,3080,3400,3320
15-1051,NE,*,2760,2870,2840,2730,3360,3470,3110,3580,3250,3580
15-1061,NE,*,850,940,840,680,550,550,640,670,730,670
15-1071,NE,*,1840,1650,1690,1670,1440,1490,1710,1770,1680,1710
15-1081,NE,*,1880,1680,1670,1730,1500,1390,1470,1140,1200,1240
15-1099,NE,*,650,600,710,900,420,610,*,*,*,*
15-1111,NE,50,*,*,*,*,*,*,*,*,*,*
15-1121,NE,3220,*,*,*,*,*,*,*,*,*,*
15-1131,NE,2740,*,*,*,*,*,*,*,*,*,*
15-1132,NE,3330,*,*,*,*,*,*,*,*,*,*
15-1133,NE,2690,*,*,*,*,*,*,*,*,*,*
15-1141,NE,840,*,*,*,*,*,*,*,*,*,*
15-1142,NE,2400,*,*,*,*,*,*,*,*,*,*
15-1150,NE,3530,*,*,*,*,*,*,*,*,*,*
15-1179,NE,1990,*,*,*,*,*,*,*,*,*,*
15-1799,NE,570,*,*,*,*,*,*,*,*,*,*
15-2031,NE,270,350,410,450,840,650,680,670,510,440,280
17-0000,NE,10390,10940,11370,10930,10870,10830,10830,11330,11660,12230,13370
17-2061,NE,130,150,110,120,150,210,290,290,130,290,90
17-2112,NE,990,1080,1070,1050,900,950,910,720,750,730,850
17-3026,NE,160,180,190,290,490,-1,680,570,400,320,390
19-0000,NE,5640,7670,7070,7550,8380,8370,8190,7770,7460,7180,6300
25-1021,NE,170,240,290,260,280,290,310,360,280,260,270
27-0000,NE,11120,10910,10720,10700,10900,10970,10770,11230,9620,9640,10610
27-1014,NE,70,60,60,50,80,60,70,90,60,70,80
27-1024,NE,1310,1500,1530,1410,1290,1290,1140,1220,990,850,760
27-3042,NE,260,260,240,230,180,190,160,140,180,150,170
29-2071,NE,1520,1810,1770,1780,1750,1820,1780,1440,1230,1280,1170
41-4011,NE,1980,2150,1820,1880,2290,2290,2250,2740,2330,2290,2310
43-9011,NE,1590,1260,1340,1350,1560,1210,1140,1450,1460,1640,1490
43-9021,NE,1530,1830,1780,2270,2280,2310,2980,2200,2920,2840,2780
43-9031,NE,170,170,120,120,130,130,260,290,220,300,200
45-0000,NE,3440,3520,3480,3100,2860,2810,3000,3270,3450,3280,3220
49-2011,NE,660,800,920,840,1080,1150,1150,1610,1260,1040,690
51-4011,NE,690,980,1070,1090,1040,1100,1010,1130,880,790,970
51-4012,NE,110,60,90,100,70,70,70,40,40,*,*
11-3021,NV,1250,1180,1280,1310,1160,1040,1030,900,960,1020,1010
13-0000,NV,35070,35040,36840,38660,38760,33530,32420,30270,28070,26390,23780
13-1081,NV,210,-1,130,100,100,40,40,*,*,*,*
13-1111,NV,3040,3270,3040,2900,2930,2350,2200,2560,2660,2050,1830
15-0000,NV,14100,14170,14110,13210,13260,11460,11630,10680,10150,11260,10990
15-1011,NV,*,40,60,-1,-1,-1,-1,*,*,*,*
15-1021,NV,*,1110,1330,1430,1700,1600,1580,1270,1450,1600,1730
15-1031,NV,*,1380,1280,1180,1230,1150,1160,1030,750,600,500
15-1032,NV,*,1540,1430,1180,1100,750,740,630,570,670,540
15-1041,NV,*,4230,4070,3260,3590,3490,3690,3690,3220,3830,3800
15-1051,NV,*,1880,1910,1870,1540,1500,1500,1450,1360,1240,1070
15-1061,NV,*,380,350,370,330,270,260,250,280,310,260
15-1071,NV,*,1210,1140,1350,1090,880,810,710,900,860,870
15-1081,NV,*,810,910,1110,1250,900,1010,610,640,690,950
15-1099,NV,*,1420,1410,1130,1110,710,660,*,*,*,*
15-1121,NV,1650,*,*,*,*,*,*,*,*,*,*
15-1131,NV,1020,*,*,*,*,*,*,*,*,*,*
15-1132,NV,1510,*,*,*,*,*,*,*,*,*,*
15-1133,NV,1280,*,*,*,*,*,*,*,*,*,*
15-1141,NV,460,*,*,*,*,*,*,*,*,*,*
15-1142,NV,1190,*,*,*,*,*,*,*,*,*,*
15-1150,NV,4280,*,*,*,*,*,*,*,*,*,*
15-1179,NV,870,*,*,*,*,*,*,*,*,*,*
15-1799,NV,1610,*,*,*,*,*,*,*,*,*,*
15-2031,NV,120,90,110,120,100,50,50,110,160,130,140
17-0000,NV,13540,14330,15890,16360,17010,16160,15330,13920,13850,12520,12030
17-2061,NV,120,120,180,180,300,290,230,230,160,100,100
17-2112,NV,450,340,320,280,240,340,350,240,180,170,120
17-3026,NV,200,250,240,240,*,150,100,100,60,*,40
19-0000,NV,7130,7830,7780,7480,7940,6660,6760,6380,6790,6390,6280
25-1021,NV,170,220,210,*,240,240,250,250,330,350,370
27-0000,NV,15970,16910,18810,16900,16680,15110,14660,12840,12350,12240,12200
27-1014,NV,270,240,320,170,190,130,200,170,160,180,130
27-1024,NV,1530,1540,1650,1450,1450,1210,1090,950,870,790,710
27-3042,NV,220,240,260,200,230,230,230,170,220,140,150
29-2071,NV,1340,1230,1290,1210,1150,1040,940,1050,1020,910,910
41-4011,NV,1180,1920,2480,-1,-1,1340,1340,1140,1440,1110,1140
43-9011,NV,330,310,350,430,540,550,600,680,850,900,1040
43-9021,NV,1090,1140,1470,1470,1950,2170,2220,1820,1860,2150,2750
43-9031,NV,-1,-1,120,90,50,40,30,50,70,80,50
45-0000,NV,600,660,-1,640,790,840,830,770,690,630,680
49-2011,NV,1200,1020,1110,1360,1140,940,1030,930,750,880,870
51-4011,NV,450,540,540,510,440,320,310,200,170,220,300
51-4012,NV,*,40,60,50,40,30,40,*,*,*,*
11-3021,NH,2360,2420,2070,1820,1650,1670,1550,1360,1330,1170,1280
13-0000,NH,27200,28110,29740,28090,27490,26100,24700,22710,20910,19370,19870
13-1081,NH,350,310,360,370,370,430,470,*,*,*,*
13-1111,NH,1430,1450,1310,1170,1120,1190,1210,1150,1300,1850,2370
15-0000,NH,17980,19220,17910,17070,16620,15610,14360,13100,11800,12020,13220
15-1011,NH,*,110,130,220,320,250,190,-1,70,40,-1
15-1021,NH,*,1620,1580,1570,1350,1270,1080,1080,1590,1080,1230
15-1031,NH,*,5180,4800,4260,4490,3870,3380,3390,2900,3350,3830
15-1032,NH,*,2420,2130,1960,2110,2280,2390,1730,710,820,-1
15-1041,NH,*,2600,2610,2860,2750,2630,2140,1840,1650,1750,1940
15-1051,NH,*,3150,2580,2260,1770,1830,1800,1640,1610,1500,1730
15-1061,NH,*,470,410,410,520,480,510,530,310,280,250
15-1071,NH,*,1590,1630,1620,1410,1320,1250,1010,870,920,970
15-1081,NH,*,780,860,890,760,630,550,410,560,560,660
15-1099,NH,*,960,830,730,910,830,880,*,*,*,*
15-1111,NH,60,*,*,*,*,*,*,*,*,*,*
15-1121,NH,2740,*,*,*,*,*,*,*,*,*,*
15-1131,NH,1330,*,*,*,*,*,*,*,*,*,*
15-1132,NH,4660,*,*,*,*,*,*,*,*,*,*
15-1133,NH,2210,*,*,*,*,*,*,*,*,*,*
15-1141,NH,490,*,*,*,*,*,*,*,*,*,*
15-1142,NH,1610,*,*,*,*,*,*,*,*,*,*
15-1150,NH,2810,*,*,*,*,*,*,*,*,*,*
15-1179,NH,800,*,*,*,*,*,*,*,*,*,*
15-1799,NH,970,*,*,*,*,*,*,*,*,*,*
15-2031,NH,140,170,150,110,100,120,110,90,130,140,60
17-0000,NH,11820,12190,12030,12380,12420,12550,13230,12370,12510,12700,12240
17-2061,NH,180,210,300,450,*,440,470,480,*,*,170
17-2112,NH,1100,1160,1110,850,790,810,780,720,750,770,910
17-3026,NH,300,320,320,270,340,410,410,360,310,280,400
19-0000,NH,4000,4570,4600,4280,4140,4390,3850,3860,4210,4150,4040
25-1021,NH,160,240,220,250,200,230,230,170,170,140,170
27-0000,NH,5900,5530,5920,5750,5700,5930,5930,5580,5740,5410,6040
27-1014,NH,-1,*,*,*,-1,-1,60,60,70,50,50
27-1024,NH,910,900,1060,880,870,830,700,570,580,550,720
27-3042,NH,170,190,220,190,250,270,320,240,220,220,250
29-2071,NH,1080,1090,1090,970,960,880,870,840,760,730,830
41-4011,NH,3770,3880,3520,3760,3460,3870,4290,4450,4320,4300,4050
43-9011,NH,280,430,420,380,350,370,410,440,590,710,790
43-9021,NH,870,960,1000,1220,1230,1320,1390,1320,1430,1780,1770
43-9031,NH,120,160,190,230,200,260,200,230,260,220,280
45-0000,NH,-1,630,650,710,840,950,980,810,870,810,900
49-2011,NH,580,630,710,640,960,830,930,830,570,730,680
51-4011,NH,980,1050,1020,870,820,940,1250,1200,1150,1660,1590
51-4012,NH,160,120,120,100,110,130,150,230,180,300,370
11-3021,NJ,15010,14590,13410,12860,12380,13440,12560,12500,11390,11980,10340
13-0000,NJ,206260,202440,206610,202670,200310,193530,178950,173990,172430,175440,181170
13-1081,NJ,3450,3190,3010,3080,3010,2110,2550,*,*,*,*
13-1111,NJ,14640,14440,15100,15730,16270,15130,13830,15870,14430,16500,15840
15-0000,NJ,130650,135520,135050,125620,119890,117820,115390,113520,115990,117790,108000
15-1011,NJ,*,1120,1170,1000,970,890,970,1140,1450,1460,2370
15-1021,NJ,*,17590,18770,19260,20780,19640,21970,23670,27940,27090,24930
15-1031,NJ,*,27940,27680,23590,21160,17340,15770,16430,16150,17010,14460
15-1032,NJ,*,13180,13910,14590,12440,15930,14930,12510,11130,9860,7160
15-1041,NJ,*,14480,16060,16440,16100,16300,16020,18210,18420,18800,17620
15-1051,NJ,*,25810,22180,18810,16990,19500,19120,19410,16760,17480,17970
15-1061,NJ,*,3840,3820,4120,4100,3730,3830,2700,3160,3230,2980
15-1071,NJ,*,10390,11100,10370,10910,10490,9970,7740,7430,6980,6130
15-1081,NJ,*,8340,8120,7310,7170,6620,5960,4630,4170,4390,3390
15-1099,NJ,*,9560,8280,6200,5670,3990,3350,*,*,*,*
15-1111,NJ,1010,*,*,*,*,*,*,*,*,*,*
15-1121,NJ,24470,*,*,*,*,*,*,*,*,*,*
15-1131,NJ,15620,*,*,*,*,*,*,*,*,*,*
15-1132,NJ,27700,*,*,*,*,*,*,*,*,*,*
15-1133,NJ,11360,*,*,*,*,*,*,*,*,*,*
15-1141,NJ,3680,*,*,*,*,*,*,*,*,*,*
15-1142,NJ,9760,*,*,*,*,*,*,*,*,*,*
15-1150,NJ,15090,*,*,*,*,*,*,*,*,*,*
15-1179,NJ,9000,*,*,*,*,*,*,*,*,*,*
15-1799,NJ,9470,*,*,*,*,*,*,*,*,*,*
15-2031,NJ,1310,1100,1510,1680,1820,1680,1690,1770,1750,1890,1520
17-0000,NJ,53300,56710,59240,58660,56210,57000,58320,57950,57800,57750,54980
17-2061,NJ,2050,1820,1570,2250,2490,2720,1950,1950,1930,1880,1810
17-2112,NJ,3290,3660,3640,3800,3320,3350,3010,2870,2920,2360,2200
17-3026,NJ,640,870,970,760,610,1010,990,1160,1080,940,1020
19-0000,NJ,34270,41070,44370,44860,43300,42160,44620,39790,39300,35520,36100
25-1021,NJ,840,730,800,910,1060,1080,990,1030,830,800,-1
27-0000,NJ,43250,41050,42230,43890,44720,46900,44370,40780,40510,39420,38830
27-1014,NJ,490,540,630,460,540,440,400,370,360,420,530
27-1024,NJ,5650,6260,6460,6150,6150,6390,6220,5290,4890,4700,4980
27-3042,NJ,1640,1540,1750,1450,1530,1600,1620,1790,1580,1670,1720
29-2071,NJ,1950,2090,2160,1960,2130,2230,1930,-1,2240,2240,2490
41-4011,NJ,10370,12870,14270,15150,13830,14380,14450,13460,14010,13450,16060
43-9011,NJ,3250,4370,5540,6450,6180,5520,5350,5710,6400,6780,6770
43-9021,NJ,7020,8310,9170,10300,11020,10650,11720,12210,14090,14980,17230
43-9031,NJ,560,680,1000,1230,-1,760,660,920,1060,900,1180
45-0000,NJ,2300,2130,3810,4250,4620,*,5870,5620,4870,3550,3540
49-2011,NJ,3080,3340,3950,4260,5160,5710,5670,6740,4400,5210,3520
51-4011,NJ,1220,1430,1330,1460,1340,1390,1320,1850,1550,1910,2860
51-4012,NJ,220,180,200,210,220,210,180,160,170,190,200
11-3021,NM,960,1030,820,660,830,870,880,1130,1130,1120,1150
13-0000,NM,27310,26910,26400,23710,23750,22700,22210,22900,22790,21280,21180
13-1081,NM,390,260,250,300,560,*,*,*,*,*,*
13-1111,NM,2810,2540,2690,2120,2370,1760,1600,1560,1160,1060,1150
15-0000,NM,13480,13810,12510,12060,11790,11150,10730,11940,12290,13050,17250
15-1011,NM,*,160,160,170,*,200,240,990,850,820,730
15-1021,NM,*,1240,1380,1640,1600,1480,1650,1890,1510,1710,1880
15-1031,NM,*,1350,1400,1370,940,1040,870,850,1230,1200,1550
15-1032,NM,*,1940,1600,1480,1460,1550,*,1010,900,1200,-1
15-1041,NM,*,3110,2680,2490,2150,1870,1860,1890,2130,2270,3600
15-1051,NM,*,1520,1270,1200,1870,2130,1930,1970,1750,1790,2040
15-1061,NM,*,640,640,570,550,440,420,400,530,530,500
15-1071,NM,*,1720,1440,1340,1030,980,970,990,1020,1000,1120
15-1081,NM,*,650,640,490,480,340,340,310,220,260,250
15-1099,NM,*,920,840,740,980,450,460,*,*,*,*
15-1111,NM,190,*,*,*,*,*,*,*,*,*,*
15-1121,NM,1550,*,*,*,*,*,*,*,*,*,*
15-1131,NM,1170,*,*,*,*,*,*,*,*,*,*
15-1132,NM,1150,*,*,*,*,*,*,*,*,*,*
15-1133,NM,1860,*,*,*,*,*,*,*,*,*,*
15-1141,NM,560,*,*,*,*,*,*,*,*,*,*
15-1142,NM,1260,*,*,*,*,*,*,*,*,*,*
15-1150,NM,3220,*,*,*,*,*,*,*,*,*,*
15-1179,NM,1020,*,*,*,*,*,*,*,*,*,*
15-1799,NM,1050,*,*,*,*,*,*,*,*,*,*
15-2031,NM,310,320,260,300,290,*,390,440,320,240,250
17-0000,NM,20840,21730,21960,21540,21170,19670,19260,22430,19110,19500,19700
17-2061,NM,1570,1030,380,*,*,-1,-1,-1,180,170,180
17-2112,NM,780,950,1000,990,810,980,900,740,540,650,670
17-3026,NM,190,250,330,300,*,290,340,400,190,330,110
19-0000,NM,12880,12790,12350,11150,9400,11920,11730,12010,9200,8780,9100
25-1021,NM,430,590,570,620,570,610,-1,200,140,140,90
27-0000,NM,8160,9200,8850,8580,7780,7250,6740,6570,6520,5420,5760
27-1014,NM,*,70,50,-1,*,30,40,60,50,50,50
27-1024,NM,690,820,790,870,770,750,650,610,460,460,550
27-3042,NM,320,390,390,390,280,280,290,270,210,230,330
29-2071,NM,1290,1020,1070,1020,1190,1190,1280,1360,1400,1070,970
41-4011,NM,1360,1510,1500,1360,1720,1740,1490,1280,1490,1310,1590
43-9011,NM,560,580,660,620,760,840,840,980,990,1050,800
43-9021,NM,930,1050,1380,1250,1710,1180,1410,1390,1250,1190,1170
43-9031,NM,*,*,230,150,200,120,*,120,100,110,50
45-0000,NM,3100,3130,2590,3110,4250,4460,4130,3990,5410,6040,5990
49-2011,NM,480,700,790,830,670,990,940,1180,620,780,940
51-4011,NM,100,*,*,*,60,130,130,130,70,100,150
11-3021,NY,23080,22550,21870,21060,18580,18410,17910,17210,18090,17970,18290
13-0000,NY,428270,418190,418430,402750,385840,361920,353550,345370,325110,335480,344160
13-1081,NY,2110,2280,2820,3020,2550,1840,1590,*,*,*,*
13-1111,NY,35380,34820,33930,31260,27540,26970,25450,23630,23070,20420,22440
15-0000,NY,202690,202670,209490,208970,193190,185330,181050,171700,169750,174660,179560
15-1011,NY,*,860,1240,1940,1610,1480,1140,880,1170,1120,1200
15-1021,NY,*,37490,37390,35730,33990,36670,36700,34620,35830,39800,39660
15-1031,NY,*,24910,30380,33140,30840,26580,25830,23950,20730,19890,18910
15-1032,NY,*,16490,17600,17960,17790,17520,17910,16000,15140,16180,14290
15-1041,NY,*,36060,36100,34410,32890,30730,30240,27800,27930,33020,31670
15-1051,NY,*,31660,31270,31900,28480,27630,26980,26340,26830,23780,29860
15-1061,NY,*,7920,8900,9770,8320,7600,7100,7250,7820,7960,8850
15-1071,NY,*,18560,18680,18840,17420,17170,16220,14070,13370,13500,14330
15-1081,NY,*,20210,19540,17210,14260,12730,11370,12580,10300,8220,8020
15-1099,NY,*,2800,-1,-1,3020,3370,3520,*,*,*,*
15-1111,NY,840,*,*,*,*,*,*,*,*,*,*
15-1121,NY,31640,*,*,*,*,*,*,*,*,*,*
15-1131,NY,31110,*,*,*,*,*,*,*,*,*,*
15-1132,NY,27600,*,*,*,*,*,*,*,*,*,*
15-1133,NY,17220,*,*,*,*,*,*,*,*,*,*
15-1141,NY,7150,*,*,*,*,*,*,*,*,*,*
15-1142,NY,19170,*,*,*,*,*,*,*,*,*,*
15-1150,NY,38810,*,*,*,*,*,*,*,*,*,*
15-1179,NY,18940,*,*,*,*,*,*,*,*,*,*
15-1799,NY,3510,*,*,*,*,*,*,*,*,*,*
15-2031,NY,3140,2240,2360,2200,1930,1580,1570,1650,1850,2070,2190
17-0000,NY,101280,107350,116150,108200,108130,104230,104970,107640,116760,122590,130570
17-2061,NY,3320,3970,4320,4820,4280,4930,4970,3100,3560,3030,3520
17-2112,NY,7330,7880,9610,10260,-1,9040,8640,7350,6460,8020,8360
17-3026,NY,2860,2920,2990,2720,2720,2470,2550,2180,2220,2380,2900
19-0000,NY,65400,94160,90330,89650,86110,81080,77960,73930,70590,67030,69840
25-1021,NY,1770,1790,1500,1440,*,1300,1270,1140,1150,1150,730
27-0000,NY,180010,181560,180010,170250,169990,174300,173380,171800,155130,170020,168300
27-1014,NY,2980,3420,3630,3220,2710,2780,2980,3020,3780,3130,3430
27-1024,NY,18970,19980,20830,19380,18660,17800,17150,15820,12960,11660,10780
27-3042,NY,1870,1740,1890,1940,2090,2480,1950,2090,1910,1710,1800
29-2071,NY,9630,9140,9200,8630,8190,7740,7810,7030,6340,6270,6450
41-4011,NY,13400,16380,18380,19010,17880,15160,14070,12720,11730,13940,16030
43-9011,NY,7350,8520,9570,11350,11510,11390,11140,10540,11270,11950,13030
43-9021,NY,15390,17490,19550,20760,21560,22620,22080,22780,27000,33860,41850
43-9031,NY,1090,1360,1550,1830,1860,1930,-1,3740,4550,4170,4050
45-0000,NY,4500,4760,5220,6030,7420,9110,10190,9770,6840,6090,5370
49-2011,NY,7800,8330,9860,10110,10030,8700,8470,9210,9110,12240,12580
51-4011,NY,5190,4400,4420,4230,4080,4470,3930,4660,5310,4740,5810
51-4012,NY,780,830,830,1270,1260,1500,870,940,970,1210,990
11-3021,NC,10670,11040,10250,9440,7950,8070,8010,7450,7880,7410,7880
13-0000,NC,156600,154190,159550,153370,138000,124260,121290,116440,106220,106260,103430
13-1081,NC,2630,2950,2640,2190,1770,990,930,*,*,*,*
13-1111,NC,8480,8110,8620,8550,7690,6920,6870,6800,6270,6800,6370
15-0000,NC,93110,94810,91000,84800,82190,78020,79880,78740,75140,75510,77950
15-1011,NC,*,410,480,380,150,140,120,260,*,*,*
15-1021,NC,*,11360,11250,10970,10010,10320,9580,11280,12790,13860,15170
15-1031,NC,*,13180,12630,11170,10970,9650,8800,8710,8290,8450,9100
15-1032,NC,*,11540,10660,10130,9240,9800,9270,*,6650,8420,8510
15-1041,NC,*,16770,16500,15570,17720,16850,18060,17290,15430,14670,13860
15-1051,NC,*,17620,15570,14440,13510,13790,14890,14060,13460,11060,12580
15-1061,NC,*,3070,2940,2860,2650,2290,2550,2870,2700,2670,2660
15-1071,NC,*,7990,7680,7490,6720,6350,7220,6720,6390,6950,6130
15-1081,NC,*,6110,6550,6210,6820,5880,6080,4460,3500,4180,4380
15-1099,NC,*,3510,3150,2410,2360,1200,1470,*,*,*,*
15-1111,NC,290,*,*,*,*,*,*,*,*,*,*
15-1121,NC,14920,*,*,*,*,*,*,*,*,*,*
15-1131,NC,9190,*,*,*,*,*,*,*,*,*,*
15-1132,NC,14780,*,*,*,*,*,*,*,*,*,*
15-1133,NC,10380,*,*,*,*,*,*,*,*,*,*
15-1141,NC,2830,*,*,*,*,*,*,*,*,*,*
15-1142,NC,7280,*,*,*,*,*,*,*,*,*,*
15-1150,NC,19510,*,*,*,*,*,*,*,*,*,*
15-1179,NC,8110,*,*,*,*,*,*,*,*,*,*
15-1799,NC,3350,*,*,*,*,*,*,*,*,*,*
15-2031,NC,1110,1970,2340,-1,1050,850,890,680,810,670,460
17-0000,NC,50920,53760,57180,56950,53420,52570,52680,50670,52840,57750,60950
17-2061,NC,1470,1380,1460,1500,1320,1110,1040,*,940,1190,1290
17-2112,NC,5150,5510,5780,6100,5420,5390,5400,4580,4050,4290,4710
17-3026,NC,1510,1640,1890,2030,1980,1810,2270,1690,1880,1890,2300
19-0000,NC,35160,41060,40760,39040,38270,37790,37300,36220,36010,35650,32580
25-1021,NC,1710,1600,1570,1430,1720,1800,1800,1800,1550,1610,1530
27-0000,NC,38280,38050,39290,37370,35260,33430,32770,31350,30390,30660,29980
27-1014,NC,350,680,720,530,370,320,340,-1,460,540,540
27-1024,NC,5350,5290,4940,4270,4140,3820,3570,3190,2720,2700,2690
27-3042,NC,1050,1030,950,1060,1000,1010,910,1070,1040,1080,1210
29-2071,NC,5110,5130,5280,5190,5190,5010,5410,5470,5230,4590,4390
41-4011,NC,12550,13010,12990,13380,15080,15230,16650,16720,16830,17710,17220
43-9011,NC,2160,2170,3070,3400,3860,4140,4040,4140,4410,3960,4010
43-9021,NC,6410,6700,6870,7600,6420,6500,6200,6420,8130,7560,8760
43-9031,NC,540,830,1040,-1,500,420,440,600,740,740,670
45-0000,NC,6620,6960,8040,8060,8270,8210,8750,7910,8520,9050,9540
49-2011,NC,4140,3850,4210,4990,4820,4610,3880,3460,3280,3590,3630
51-4011,NC,3530,4350,4540,4540,4210,4210,4010,4230,4320,4450,5150
51-4012,NC,360,430,390,300,270,330,350,340,610,750,1060
11-3021,ND,520,470,460,420,470,460,510,500,480,420,400
13-0000,ND,12160,11760,11720,11150,11070,9520,9250,8790,8080,7450,7360
13-1081,ND,70,50,50,40,40,*,*,*,*,*,*
13-1111,ND,420,440,450,310,370,400,440,-1,220,170,140
15-0000,ND,6290,5150,4900,5110,4760,4800,4610,4460,4030,4610,3850
15-1021,ND,*,630,580,660,690,660,690,710,900,950,700
15-1031,ND,*,600,630,740,680,710,590,500,280,370,-1
15-1032,ND,*,240,190,220,340,510,490,-1,*,200,220
15-1041,ND,*,1780,1540,-1,930,930,980,1210,1110,1300,990
15-1051,ND,*,740,860,660,770,630,550,500,460,470,510
15-1061,ND,*,100,-1,-1,230,200,180,150,210,220,230
15-1071,ND,*,450,460,440,510,540,480,-1,250,390,250
15-1081,ND,*,260,240,280,350,330,270,250,220,180,170
15-1099,ND,*,190,160,140,150,180,240,*,*,*,*
15-1121,ND,910,*,*,*,*,*,*,*,*,*,*
15-1131,ND,550,*,*,*,*,*,*,*,*,*,*
15-1132,ND,750,*,*,*,*,*,*,*,*,*,*
15-1133,ND,-1,*,*,*,*,*,*,*,*,*,*
15-1141,ND,150,*,*,*,*,*,*,*,*,*,*
15-1142,ND,560,*,*,*,*,*,*,*,*,*,*
15-1150,ND,2090,*,*,*,*,*,*,*,*,*,*
15-1179,ND,410,*,*,*,*,*,*,*,*,*,*
15-1799,ND,200,*,*,*,*,*,*,*,*,*,*
15-2031,ND,120,80,90,30,*,*,-1,-1,*,140,-1
17-0000,ND,5320,4810,4690,4340,4960,4510,4170,3870,3940,3980,3790
17-2112,ND,500,410,400,410,370,340,270,270,220,180,140
17-3026,ND,140,130,200,180,210,130,80,50,60,90,80
19-0000,ND,2820,3120,2970,2620,2740,2570,2430,2580,2700,2710,2580
25-1021,ND,100,120,120,140,130,130,120,120,150,100,100
27-0000,ND,3550,4050,4280,4510,3980,3790,3480,3420,3250,3390,3490
27-1014,ND,*,*,*,*,*,30,*,*,*,*,40
27-1024,ND,490,520,560,540,500,520,430,330,250,230,320
27-3042,ND,50,40,50,40,50,60,70,90,70,80,90
29-2071,ND,570,450,510,540,620,580,640,630,610,620,670
41-4011,ND,-1,590,640,600,630,620,560,710,640,680,550
43-9011,ND,290,330,340,340,300,310,360,330,450,370,440
43-9021,ND,950,980,880,910,890,1050,1140,1430,1340,1150,920
43-9031,ND,130,110,120,120,130,110,70,70,80,120,160
45-0000,ND,1390,1190,1130,1000,1140,-1,1250,1270,830,1000,840
49-2011,ND,360,370,360,390,450,470,500,410,330,290,280
51-4011,ND,-1,200,170,110,110,*,150,140,60,60,50
51-4012,ND,*,*,*,*,*,*,*,*,*,*,-1
11-3021,OH,9480,9310,9060,8580,8460,8700,8690,8580,9820,9430,10360
13-0000,OH,217470,219920,224500,223400,228210,221450,219500,214740,193140,185660,176380
13-1081,OH,4580,4050,3670,3140,2380,2200,2360,*,*,*,*
